a,r,b
"(:Problem {difficulty: Medium, examples: [{'id': 1, 'input': 'tokens = [""2"",""1"",""+"",""3"",""*""]', 'output': '9', 'explanation': '((2 + 1) * 3) = 9'}, {'id': 2, 'input': 'tokens = [""4"",""13"",""5"",""/"",""+""]', 'output': '6', 'explanation': '(4 + (13 / 5)) = 6'}, {'id': 3, 'input': 'tokens = [""10"",""6"",""9"",""3"",""+"",""-11"",""*"",""/"",""*"",""17"",""+"",""5"",""+""]', 'output': '22', 'explanation': '((10 * (6 / ((9 + 3) * -11))) + 17) + 5\n= ((10 * (6 / (12 * -11))) + 17) + 5\n= ((10 * (6 / -132)) + 17) + 5\n= ((10 * 0) + 17) + 5\n= (0 + 17) + 5\n= 17 + 5\n= 22'}], topics: [Sorting], problem_statement: You are given an array of strings tokens that represents an arithmetic expression in a Reverse Polish Notation.

Evaluate the expression. Return an integer that represents the value of the expression.

Note that:
- The valid operators are '+', '-', '*', and '/'.
- Each operand may be an integer or another expression.
- The division between two integers always truncates toward zero.
- There will not be any division by zero.
- The input represents a valid arithmetic expression in a reverse polish notation.
- The answer and all the intermediate calculations can be represented in a 32-bit integer., title: Evaluate Reverse Polish Notation, constraints: [1 <= tokens.length <= 10^4, tokens[i] is either an operator: ""+"", ""-"", ""*"", or ""/"", or an integer in the range [-200, 200].]})",[:HAS_DIFFICULTY],(:Difficulty {level: Medium})
"(:Problem {difficulty: Medium, examples: [{'id': 1, 'input': 'tokens = [""2"",""1"",""+"",""3"",""*""]', 'output': '9', 'explanation': '((2 + 1) * 3) = 9'}, {'id': 2, 'input': 'tokens = [""4"",""13"",""5"",""/"",""+""]', 'output': '6', 'explanation': '(4 + (13 / 5)) = 6'}, {'id': 3, 'input': 'tokens = [""10"",""6"",""9"",""3"",""+"",""-11"",""*"",""/"",""*"",""17"",""+"",""5"",""+""]', 'output': '22', 'explanation': '((10 * (6 / ((9 + 3) * -11))) + 17) + 5\n= ((10 * (6 / (12 * -11))) + 17) + 5\n= ((10 * (6 / -132)) + 17) + 5\n= ((10 * 0) + 17) + 5\n= (0 + 17) + 5\n= 17 + 5\n= 22'}], topics: [Sorting], problem_statement: You are given an array of strings tokens that represents an arithmetic expression in a Reverse Polish Notation.

Evaluate the expression. Return an integer that represents the value of the expression.

Note that:
- The valid operators are '+', '-', '*', and '/'.
- Each operand may be an integer or another expression.
- The division between two integers always truncates toward zero.
- There will not be any division by zero.
- The input represents a valid arithmetic expression in a reverse polish notation.
- The answer and all the intermediate calculations can be represented in a 32-bit integer., title: Evaluate Reverse Polish Notation, constraints: [1 <= tokens.length <= 10^4, tokens[i] is either an operator: ""+"", ""-"", ""*"", or ""/"", or an integer in the range [-200, 200].]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    int evalRPN(vector<string>& tokens) {
    stack<long long> s;
    for(auto& t : tokens){
            if(t == ""+"" || t == ""-"" || t == ""*"" || t == ""/"") {
            long long op1 = s.top(); s.pop();
            long long op2 = s.top(); s.pop();
            if(t == ""+"") op1 = op2 + op1; 
            if(t == ""-"") op1 = op2 - op1;
            if(t == ""/"") op1 = op2 / op1;
            if(t == ""*"") op1 = op2 * op1;   
                s.push(op1);
        }
            else 
                s.push(stoll(t));      
        }
    return s.top(); 
    }
};, language: C++, approach: Stack-based Evaluation})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': '[""MyCalendarThree"", ""book"", ""book"", ""book"", ""book"", ""book"", ""book""]\n[[], [10, 20], [50, 60], [10, 40], [5, 15], [5, 10], [25, 55]]', 'output': '[null, 1, 1, 2, 3, 3, 3]', 'explanation': 'MyCalendarThree myCalendarThree = new MyCalendarThree();\nmyCalendarThree.book(10, 20); // return 1\nmyCalendarThree.book(50, 60); // return 1\nmyCalendarThree.book(10, 40); // return 2\nmyCalendarThree.book(5, 15); // return 3\nmyCalendarThree.book(5, 10); // return 3\nmyCalendarThree.book(25, 55); // return 3'}], topics: [Segment Tree], problem_statement: A k-booking happens when k events have some non-empty intersection (i.e., there is some time that is common to all k events.)

You are given some events [startTime, endTime), after each given event, return an integer k representing the maximum k-booking between all the previous events.

Implement the MyCalendarThree class:
- MyCalendarThree() Initializes the object.
- int book(int startTime, int endTime) Returns an integer k representing the largest integer such that there exists a k-booking in the calendar., title: My Calendar III, constraints: [0 <= startTime < endTime <= 10^9, At most 400 calls will be made to book.]})",[:BELONGS_TO_TOPIC],(:Topic {name: Segment Tree})
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': '[""MyCalendarThree"", ""book"", ""book"", ""book"", ""book"", ""book"", ""book""]\n[[], [10, 20], [50, 60], [10, 40], [5, 15], [5, 10], [25, 55]]', 'output': '[null, 1, 1, 2, 3, 3, 3]', 'explanation': 'MyCalendarThree myCalendarThree = new MyCalendarThree();\nmyCalendarThree.book(10, 20); // return 1\nmyCalendarThree.book(50, 60); // return 1\nmyCalendarThree.book(10, 40); // return 2\nmyCalendarThree.book(5, 15); // return 3\nmyCalendarThree.book(5, 10); // return 3\nmyCalendarThree.book(25, 55); // return 3'}], topics: [Segment Tree], problem_statement: A k-booking happens when k events have some non-empty intersection (i.e., there is some time that is common to all k events.)

You are given some events [startTime, endTime), after each given event, return an integer k representing the maximum k-booking between all the previous events.

Implement the MyCalendarThree class:
- MyCalendarThree() Initializes the object.
- int book(int startTime, int endTime) Returns an integer k representing the largest integer such that there exists a k-booking in the calendar., title: My Calendar III, constraints: [0 <= startTime < endTime <= 10^9, At most 400 calls will be made to book.]})",[:HAS_DIFFICULTY],(:Difficulty {level: Hard})
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': '[""MyCalendarThree"", ""book"", ""book"", ""book"", ""book"", ""book"", ""book""]\n[[], [10, 20], [50, 60], [10, 40], [5, 15], [5, 10], [25, 55]]', 'output': '[null, 1, 1, 2, 3, 3, 3]', 'explanation': 'MyCalendarThree myCalendarThree = new MyCalendarThree();\nmyCalendarThree.book(10, 20); // return 1\nmyCalendarThree.book(50, 60); // return 1\nmyCalendarThree.book(10, 40); // return 2\nmyCalendarThree.book(5, 15); // return 3\nmyCalendarThree.book(5, 10); // return 3\nmyCalendarThree.book(25, 55); // return 3'}], topics: [Segment Tree], problem_statement: A k-booking happens when k events have some non-empty intersection (i.e., there is some time that is common to all k events.)

You are given some events [startTime, endTime), after each given event, return an integer k representing the maximum k-booking between all the previous events.

Implement the MyCalendarThree class:
- MyCalendarThree() Initializes the object.
- int book(int startTime, int endTime) Returns an integer k representing the largest integer such that there exists a k-booking in the calendar., title: My Calendar III, constraints: [0 <= startTime < endTime <= 10^9, At most 400 calls will be made to book.]})",[:HAS_SOLUTION],"(:Solution {code: class MyCalendarThree {
public:
    map<int, int> timeline;      
    MyCalendarThree() {
        
    }
    
    int book(int s, int e) {
        timeline[s]++;
        timeline[e]--;
        int ongoing = 0, k = 0;
        for(pair<int, int> t: timeline)
            k = max(k, ongoing += t.second);
        return k;
    }
};, language: C++, approach: Boundary Counting (Line Sweep)})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': '[""MyCalendarThree"", ""book"", ""book"", ""book"", ""book"", ""book"", ""book""]\n[[], [10, 20], [50, 60], [10, 40], [5, 15], [5, 10], [25, 55]]', 'output': '[null, 1, 1, 2, 3, 3, 3]', 'explanation': 'MyCalendarThree myCalendarThree = new MyCalendarThree();\nmyCalendarThree.book(10, 20); // return 1\nmyCalendarThree.book(50, 60); // return 1\nmyCalendarThree.book(10, 40); // return 2\nmyCalendarThree.book(5, 15); // return 3\nmyCalendarThree.book(5, 10); // return 3\nmyCalendarThree.book(25, 55); // return 3'}], topics: [Segment Tree], problem_statement: A k-booking happens when k events have some non-empty intersection (i.e., there is some time that is common to all k events.)

You are given some events [startTime, endTime), after each given event, return an integer k representing the maximum k-booking between all the previous events.

Implement the MyCalendarThree class:
- MyCalendarThree() Initializes the object.
- int book(int startTime, int endTime) Returns an integer k representing the largest integer such that there exists a k-booking in the calendar., title: My Calendar III, constraints: [0 <= startTime < endTime <= 10^9, At most 400 calls will be made to book.]})",[:HAS_SOLUTION],"(:Solution {code: from itertools import accumulate
from sortedcontainers import SortedDict

class MyCalendarThree:

    def __init__(self):
        self.timeline = SortedDict()

    def book(self, start: int, end: int) -> int:
        self.timeline[start] = self.timeline.get(start, 0) + 1
        self.timeline[end] = self.timeline.get(end, 0) - 1
        return max(accumulate(self.timeline.values())), language: Python, approach: Boundary Counting (Line Sweep)})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})",[:BELONGS_TO_TOPIC],(:Topic {name: Dynamic Programming})
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})",[:HAS_DIFFICULTY],(:Difficulty {level: Hard})
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    int maxProfit(int k, vector<int>& prices) {
        if(k == 0)  return 0;
        vector<vector<int>> dp(k+1, vector<int>(2));
        
        for(int i = 0; i <= k; i++){
            dp[i][0] = INT_MAX; // cost to buy
            dp[i][1] = 0;       // profit to sell
        }
        
        for(auto &p: prices){
            for(int i = 1; i <= k; i++){
                dp[i][0] = min(dp[i][0], p - dp[i-1][1]);
                dp[i][1] = max(dp[i][1], p - dp[i][0]);
            }
        }
        return dp[k][1];
    }
};, language: C++, approach: Dynamic Programming})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})",[:HAS_SOLUTION],"(:Solution {code: class Solution:
    def maxProfit(self, k: int, prices: List[int]) -> int:
        if k == 0: return 0
        # dp[i][0] = cost to buy, dp[i][1] = profit to sell for transaction i
        dp = [[float('inf'), 0] for _ in range(k + 1)]
              
        for p in prices:
            for i in range(1, k + 1):
                dp[i][0] = min(dp[i][0], p - dp[i-1][1])
                dp[i][1] = max(dp[i][1], p - dp[i][0])
        
        return dp[k][1], language: Python, approach: Dynamic Programming})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '[0,1,1]', 'explanation': '0 --> 0\n1 --> 1\n2 --> 10'}, {'id': 2, 'input': 'n = 5', 'output': '[0,1,1,2,1,2]', 'explanation': '0 --> 0\n1 --> 1\n2 --> 10\n3 --> 11\n4 --> 100\n5 --> 101'}], topics: [Dynamic Programming, Bit Manipulation], problem_statement: Given an integer n, return an array ans of length n + 1 such that for each i (0 <= i <= n), ans[i] is the number of 1's in the binary representation of i., title: Counting Bits, constraints: [0 <= n <= 10^5]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'cost = [10,15,20]', 'output': '15', 'explanation': 'You will start at index 1.\n- Pay 15 and climb two steps to reach the top.\nThe total cost is 15.'}, {'id': 2, 'input': 'cost = [1,100,1,1,1,100,1,1,100,1]', 'output': '6', 'explanation': 'You will start at index 0.\n- Pay 1 and climb two steps to reach index 2.\n- Pay 1 and climb two steps to reach index 4.\n- Pay 1 and climb two steps to reach index 6.\n- Pay 1 and climb one step to reach index 7.\n- Pay 1 and climb two steps to reach index 9.\n- Pay 1 and climb one step to reach the top.\nThe total cost is 6.'}], topics: [Dynamic Programming, Array], problem_statement: You are given an integer array cost where cost[i] is the cost of ith step on a staircase. Once you pay the cost, you can either climb one or two steps.

You can either start from the step with index 0, or the step with index 1.

Return the minimum cost to reach the top of the floor., title: Min Cost Climbing Stairs, constraints: [2 <= cost.length <= 1000, 0 <= cost[i] <= 999]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'rowIndex = 3', 'output': '[1,3,3,1]'}, {'id': 2, 'input': 'rowIndex = 0', 'output': '[1]'}, {'id': 3, 'input': 'rowIndex = 1', 'output': '[1,1]'}], topics: [Array, Dynamic Programming], problem_statement: Given an integer rowIndex, return the rowIndexth (0-indexed) row of the Pascal's triangle.

In Pascal's triangle, each number is the sum of the two numbers directly above it., title: Pascal's Triangle II, constraints: [0 <= rowIndex <= 33]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'k = 2, prices = [2,4,1]', 'output': '2', 'explanation': 'Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.'}, {'id': 2, 'input': 'k = 2, prices = [3,2,6,5,0,3]', 'output': '7', 'explanation': 'Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4. Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.'}], topics: [Dynamic Programming], problem_statement: You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k.

Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times.

Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)., title: Best Time to Buy and Sell Stock IV, constraints: [1 <= k <= 100, 1 <= prices.length <= 1000, 0 <= prices[i] <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'n = 3, k = 0', 'output': '1', 'explanation': 'Only the array [1,2,3] which consists of numbers from 1 to 3 has exactly 0 inverse pairs.'}, {'id': 2, 'input': 'n = 3, k = 1', 'output': '2', 'explanation': 'The array [1,3,2] and [2,1,3] have exactly 1 inverse pair.'}], topics: [Dynamic Programming], problem_statement: For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j].

Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 10^9 + 7., title: K Inverse Pairs Array, constraints: [1 <= n <= 1000, 0 <= k <= 1000]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'n = 3, k = 0', 'output': '1', 'explanation': 'Only the array [1,2,3] which consists of numbers from 1 to 3 has exactly 0 inverse pairs.'}, {'id': 2, 'input': 'n = 3, k = 1', 'output': '2', 'explanation': 'The array [1,3,2] and [2,1,3] have exactly 1 inverse pair.'}], topics: [Dynamic Programming], problem_statement: For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j].

Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 10^9 + 7., title: K Inverse Pairs Array, constraints: [1 <= n <= 1000, 0 <= k <= 1000]})",[:BELONGS_TO_TOPIC],(:Topic {name: Dynamic Programming})
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'n = 3, k = 0', 'output': '1', 'explanation': 'Only the array [1,2,3] which consists of numbers from 1 to 3 has exactly 0 inverse pairs.'}, {'id': 2, 'input': 'n = 3, k = 1', 'output': '2', 'explanation': 'The array [1,3,2] and [2,1,3] have exactly 1 inverse pair.'}], topics: [Dynamic Programming], problem_statement: For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j].

Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 10^9 + 7., title: K Inverse Pairs Array, constraints: [1 <= n <= 1000, 0 <= k <= 1000]})",[:HAS_DIFFICULTY],(:Difficulty {level: Hard})
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'n = 3, k = 0', 'output': '1', 'explanation': 'Only the array [1,2,3] which consists of numbers from 1 to 3 has exactly 0 inverse pairs.'}, {'id': 2, 'input': 'n = 3, k = 1', 'output': '2', 'explanation': 'The array [1,3,2] and [2,1,3] have exactly 1 inverse pair.'}], topics: [Dynamic Programming], problem_statement: For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j].

Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 10^9 + 7., title: K Inverse Pairs Array, constraints: [1 <= n <= 1000, 0 <= k <= 1000]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    int kInversePairs(int n, int k) {
        int dp[2][1001] = {};
        dp[0][0] = 1;
        int mod = 1e9 + 7;
        for(int i = 1; i <= n; i++) {
            int current = i % 2;
            int prev = (i - 1) % 2;
            dp[current][0] = 1;
            for(int j = 1; j <= k; j++) {
                dp[current][j] = (dp[prev][j] + dp[current][j-1]) % mod;
                if(j >= i) {
                    dp[current][j] = (dp[current][j] - dp[prev][j-i] + mod) % mod;
                }
            }
        }
        return dp[n%2][k];
    }
};, language: C++, approach: Optimized Dynamic Programming})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'n = 3, k = 0', 'output': '1', 'explanation': 'Only the array [1,2,3] which consists of numbers from 1 to 3 has exactly 0 inverse pairs.'}, {'id': 2, 'input': 'n = 3, k = 1', 'output': '2', 'explanation': 'The array [1,3,2] and [2,1,3] have exactly 1 inverse pair.'}], topics: [Dynamic Programming], problem_statement: For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j].

Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 10^9 + 7., title: K Inverse Pairs Array, constraints: [1 <= n <= 1000, 0 <= k <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})"
"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'n = 3, k = 0', 'output': '1', 'explanation': 'Only the array [1,2,3] which consists of numbers from 1 to 3 has exactly 0 inverse pairs.'}, {'id': 2, 'input': 'n = 3, k = 1', 'output': '2', 'explanation': 'The array [1,3,2] and [2,1,3] have exactly 1 inverse pair.'}], topics: [Dynamic Programming], problem_statement: For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j].

Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 10^9 + 7., title: K Inverse Pairs Array, constraints: [1 <= n <= 1000, 0 <= k <= 1000]})",[:SIMILAR_TOPIC {shared_topic: Dynamic Programming}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '[0,1,1]', 'explanation': '0 --> 0\n1 --> 1\n2 --> 10'}, {'id': 2, 'input': 'n = 5', 'output': '[0,1,1,2,1,2]', 'explanation': '0 --> 0\n1 --> 1\n2 --> 10\n3 --> 11\n4 --> 100\n5 --> 101'}], topics: [Dynamic Programming, Bit Manipulation], problem_statement: Given an integer n, return an array ans of length n + 1 such that for each i (0 <= i <= n), ans[i] is the number of 1's in the binary representation of i., title: Counting Bits, constraints: [0 <= n <= 10^5]})"
